"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,25-34,active,ad,85,142,1.67058824,"7-day click or 1-day view",,,1.90043221,,2024-05-09,2025-04-30,,,13.38332543,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,male,18-24,inactive,ad,98,136,1.3877551,"7-day click or 1-day view",,,1.12,,2025-03-02,Ongoing,1,1.12,8.23529412,5.88235294,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,18-24,active,ad,81,133,1.64197531,"7-day click or 1-day view",,,1.12025478,,2024-05-09,2025-04-30,,,8.42296825,0.7518797,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",PLUM||IFD-STOR-RL|IMG|sitting,female,45-54,inactive,ad,100,130,1.3,"7-day click or 1-day view",,,1.38,,2025-03-02,Ongoing,,,10.61538462,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,18-24,not_delivering,ad,68,115,1.69117647,"7-day click or 1-day view",,,0.49,,2025-03-02,Ongoing,,,4.26086957,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,18-24,not_delivering,ad,86,110,1.27906977,"7-day click or 1-day view",,,0.70993081,,2025-03-02,Ongoing,,,6.45391642,1.81818182,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,35-44,not_delivering,ad,84,109,1.29761905,"7-day click or 1-day view",,,1.27,,2025-03-02,Ongoing,,,11.65137615,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,35-44,active,ad,49,105,2.14285714,"7-day click or 1-day view",quoteReceived,1,1.62036852,1.62036852,2024-05-09,2025-04-30,1,1.62036852,15.43208111,1.9047619,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,unknown,25-34,inactive,ad,78,105,1.34615385,"7-day click or 1-day view",,,1.06,,2025-03-02,Ongoing,,,10.0952381,0.95238095,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",GEN|IFD-STOR-RL|IMG|greentextonly,female,18-24,inactive,ad,89,104,1.16853933,"7-day click or 1-day view",,,0.64,,2025-03-02,Ongoing,,,6.15384615,1.92307692,2025-03-01,2025-03-31
