Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,45-54,active,ad,68,86,1.26470588,7-day click or 1-day view,,,0.84,,09/05/2024,30/04/2025,,,9.76744186,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,18-24,inactive,ad,40,84,2.1,7-day click or 1-day view,,,0.37995852,,09/05/2024,30/04/2025,,,4.52331577,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,35-44,inactive,ad,63,83,1.31746032,7-day click or 1-day view,,,1.04874251,,09/05/2024,30/04/2025,,,12.63545199,1.20481928,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,25-34,inactive,ad,59,79,1.33898305,7-day click or 1-day view,,,0.75908982,,09/05/2024,30/04/2025,1,0.75908982,9.6087319,2.53164557,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,18-24,inactive,ad,60,78,1.3,7-day click or 1-day view,,,0.69,,09/05/2024,30/04/2025,1,0.69,8.84615385,2.56410256,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,active,ad,61,73,1.19672131,7-day click or 1-day view,,,0.44,,09/05/2024,30/04/2025,,,6.02739726,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,25-34,inactive,ad,58,71,1.22413793,7-day click or 1-day view,,,0.79,,09/05/2024,30/04/2025,1,0.79,11.12676056,1.4084507,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,35-44,inactive,ad,52,68,1.30769231,7-day click or 1-day view,,,0.98,,09/05/2024,30/04/2025,,,14.41176471,1.47058824,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,25-34,active,ad,52,63,1.21153846,7-day click or 1-day view,,,0.48,,09/05/2024,30/04/2025,1,0.48,7.61904762,1.58730159,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,35-44,inactive,ad,41,59,1.43902439,7-day click or 1-day view,,,0.64962915,,09/05/2024,30/04/2025,,,11.01066363,3.38983051,01/02/2025,28/02/2025
