Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Reporting starts,Reporting ends
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|green_cta_tap,45-54,female,not_delivering,ad,1647,2158,1.31026108,7-day click or 1-day view,quoteReceived,2,16.43,8.22,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,25-34,unknown,inactive,ad,672,2588,3.85119048,7-day click or 1-day view,,,16.10,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,35-44,male,inactive,ad,768,1924,2.50520833,7-day click or 1-day view,quoteReceived,4,16.05,4.01,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,45-54,male,not_delivering,ad,1584,3082,1.94570707,7-day click or 1-day view,Link clicks,36,16.02,0.44,2024-12-17,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,male,inactive,ad,1192,2452,2.05704698,7-day click or 1-day view,,,15.75,,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,18-24,female,active,ad,1400,3148,2.24857143,7-day click or 1-day view,quoteReceived,3,15.74,5.25,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,18-24,male,inactive,ad,2339,3097,1.32407012,7-day click or 1-day view,actions:visit_instagram_profile,167,15.70,0.09,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|purple_sink,55-64,female,not_delivering,ad,920,1195,1.29891304,7-day click or 1-day view,quoteReceived,1,15.64,15.64,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,male,inactive,ad,2067,2543,1.23028544,7-day click or 1-day view,actions:visit_instagram_profile,143,15.55,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,65+,female,not_delivering,ad,340,1142,3.35882353,7-day click or 1-day view,,,15.31,,2024-07-01,2024-12-22,2024-04-01,2025-04-08
