Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,65+,not_delivering,ad,193,273,1.41450777,7-day click or 1-day view,Meta leads,1,8.10728004,8.10728004,09/01/2025,Ongoing,4,2.02682001,29.6969965,2.56410256,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,male,25-34,inactive,ad,232,273,1.17672414,7-day click or 1-day view,quoteReceived,1,2.45,2.45,09/05/2024,30/04/2025,1,2.45,8.97435897,1.46520147,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,45-54,inactive,ad,138,269,1.94927536,7-day click or 1-day view,,,3.35770335,,09/05/2024,30/04/2025,4,0.83942584,12.48216858,1.48698885,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,female,45-54,inactive,ad,144,255,1.77083333,7-day click or 1-day view,,,4.34934645,,09/05/2024,30/04/2025,5,0.86986929,17.05626061,3.1372549,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,18-24,inactive,ad,150,254,1.69333333,7-day click or 1-day view,,,1.99969952,,09/05/2024,30/04/2025,2,0.99984976,7.87283275,3.1496063,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,25-34,inactive,ad,148,253,1.70945946,7-day click or 1-day view,,,2.11855092,,09/05/2024,30/04/2025,2,1.05927546,8.37371906,0.79051383,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,25-34,inactive,ad,144,241,1.67361111,7-day click or 1-day view,,,2.5096229,,09/05/2024,30/04/2025,3,0.83654097,10.41337302,3.31950207,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,unknown,35-44,inactive,ad,114,218,1.9122807,7-day click or 1-day view,,,3.32925901,,09/05/2024,30/04/2025,,,15.27183033,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,35-44,inactive,ad,180,203,1.12777778,7-day click or 1-day view,,,3.03,,09/05/2024,30/04/2025,4,0.7575,14.92610837,3.44827586,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,unknown,25-34,inactive,ad,98,202,2.06122449,7-day click or 1-day view,,,2.14952158,,09/05/2024,30/04/2025,,,10.64119596,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,female,18-24,inactive,ad,145,198,1.36551724,7-day click or 1-day view,,,1.06669243,,09/05/2024,30/04/2025,,,5.38733549,1.01010101,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,female,18-24,inactive,ad,159,188,1.18238994,7-day click or 1-day view,,,1.05,,09/05/2024,30/04/2025,2,0.525,5.58510638,2.12765957,01/01/2025,31/01/2025
